Topic,TimeSpent,TimeStart,TimeEnd,Description,Date
D2DL,50.0,4/20/2021 13:03,4/20/2021 13:53,I read from 4.8 to 4.10. I am currently finishing 4.10. I learned about Numerical Instability and the importance of initializing parameters. 4.10 is having us practice building a model from the housing prices dataset from Kaggle.,2021-04-18
HOML,50.0,4/20/2021 10:44,4/20/2021 11:34,I am building a deep MLP with the goal of achieving over 97% precision. I am practicing using the Sequential method of building the model. I am also getting more practicing with callbacks and tensorboard.,2021-04-20
StudyTracker,50.0,11:52,12:42,I am working on visualizing my studying. ,2021-04-20
StudyTracker,44.0,12:55,13:39,Fixed the plotting. I am working on making this into an app.,2021-04-20
StudyTracker,50.0,14:09,14:59,I was able to make the groupby and aggregated barcharts.,2021-04-20
School,60.0,17:16,18:16,I had to use the statsmodels package for a homework assignment. It was ok. I will keep using scikit-learn.,2021-04-20
StudyTracker,60.0,10:42,11:42,I am working on getting a calendar to be highlighted with the dates that I studied. Part one of many for this little project.,2021-04-21
StudyTracker,50.0,11:56,12:46,I am working on getting the seaborn plots to show up on the tkinter app. It is working so far but next I will try to get it to work with the dropdown.,2021-04-21
StudyTracker,50.0,13:12,14:02,I am now working on getting entry fields to add new sessions. It is going well.,2021-04-21
StudyTracker,50.0,14:16,15:06,Changed positioning of widgets from .grid to .place. It looks better but still not that great. I want to try to add some sort of timeline under the barplot.,2021-04-21
StudyTracker,25.0,12:14,12:39,Trying to get the timeline to work. Also fixed a bug for when there is nothing inputted for this day,2021-04-22
StudyTracker,25.0,13:01,13:26,Trying to fix a bug that keeps displaying the time spent after pressing the week option. Not sure how I will fix it.,2021-04-22
HOML,50.0,15:44,16:34,I am going back to the previous chapters to do the exercises and refresh my memory. I am hoping to remember how to use K-means clustering to apply it to the LoL project.,2021-04-23
HOML,50.0,10:26,11:16,Still working on CH 4 exercises. I am working on the exercise where we build the softmax regression with early stopping from scratch.,2021-04-24
HOML,50.0,11:30,12:20,I finished the early stopping from scratch with batch gradient descent. I feel like I did understand what was going on which is good. Also it is cool to see that numpy can do so much. I am now working on the exercises in chapter 5 which involves Support Vector Machines.,2021-04-24
HOML,50.0,12:55,13:45,"I am almost finished with the exercises for CH 5. I think doing these exercises is improving my understanding of these models. I definitely haven't seen these in a while so I think it is important to see again. At some point, I will switch to a different task. Perhaps I can continue the disney project.",2021-04-24
HOML,15.0,14:15,14:30,Finished the exercises for CH 5. It was ok. I am kinda bored of the exercises right now so I will move onto something else. I think the disney project.,2021-04-24
School,35.0,14:33,15:08,I'm going to work through the homework assignments and get them all over with. They seem pretty easy so I think I could finish it all today.,2021-04-24
School,50.0,15:20,16:10,I finished the 6th homework assignment and am starting to work on the project. I think I can finish today. It is pretty simple.,2021-04-24
School,10.0,12:50,13:00,Just did the survey and did my discussion posts.,2021-04-25
School,25.0,11:21,11:46,Working on the project. I was able to correctly import the data and now I am exploring the data.,2021-04-26
School,50.0,12:00,12:50,Still working on the project. Made two plots. I'm not sure what other plot I could do. Maybe a double kde plot.,2021-04-26
School,25.0,13:34,13:59,"Working on the project still. I made the helper functions that will be used in this project. So far I have no issues, this is a pretty straight forward project.",2021-04-26
School,50.0,16:18,17:08,Finished all the functions for the project and made sure they worked. Now I just need a conclusion and I am done.,2021-04-26
School,50.0,17:30,18:20,"Ok, I made the final plot and am done with the project, I am just going to write my conclusion and be done with it.",2021-04-26
School,20.0,18:36,18:56,Finished the project. I will turn it in another day. Might look back at it sometime in the future and maybe decide to change a few things. We'll see!,2021-04-26
D2DL,50.0,14:10,15:00,Working on chapter 5. We are going over the little details of what goes on behind the scenes in deep learning. I think this should be helpful with my understand of neural nets. No new networks will be introduced in this chapter. It is just to understand what is happening.,2021-04-27
InterviewPrep,20.0,21:33,21:53,I need to start working on my SQL knowledge. All I need to do is practice some problems and it should work out. I have plenty of time to get it done.,2021-04-27
Tutoring,30.0,12:51,13:21,Working through Dara's work.,2021-04-28
Tutoring,35.0,13:46,14:21,Finished getting ready for the session.,2021-04-28
InterviewPrep,15.0,14:15,14:30,Working through leetcode problems.,2021-04-28
InterviewPrep,20.0,15:05,15:25,More leetcode.,2021-04-28
Tutoring,90.0,15:27,16:57,Finished tutoring Dara.,2021-04-28
InterviewPrep,35.0,17:37,18:12,I bought the premium for leetcode so that I could have access to more practice problems. I am now working through them and hope to do a lot tonight.,2021-04-28
InterviewPrep,50.0,19:20,20:10,Doing more SQL practice. Some are tricky and I plan on going over all the problems twice. Not sure if it will happen but we'll see.,2021-04-28
InterviewPrep,45.0,20:18,21:03,Working through the practice problems. Going a little better.,2021-04-28
StudyTracker,10.0,21:03,21:13,Renamed dive into deep learning so it is not so long. I will probably make these plots horizontal so it could fit the future subjects.,2021-04-28
InterviewPrep,45.0,21:26,22:11,I'm done for today. I am too tired to focus well. I think it was a good study day but I hope to get a lot more done tomorrow.,2021-04-28
InterviewPrep,50.0,10:44,11:34,Working through practice problems.,2021-04-29
InterviewPrep,50.0,12:14,13:04,Working through SQL problems. I am feeling more comfortable in my ability to figure out the structure of a problem but sometimes I miss a few things. I think it is going well though.,2021-04-29
Tutoring,120.0,14:40,16:40,Tutored Haily and Antonio.,2021-04-29
InterviewPrep,50.0,16:56,17:46,More SQL,2021-04-29
InterviewPrep,50.0,19:02,19:52,SQL problems. I learned about the GROUP_CONCAT function that does a lot of heavy lifting for us. I thought that was cool. I also learned about how to use SELECT statements to make a whole table.,2021-04-29
InterviewPrep,50.0,20:12,21:02,More SQL practice. It is finally giving me questions that involve LIKE and REGEXP. I am excited to get more practice with that. I think I am ready for tomorrow.,2021-04-29
InterviewPrep,50.0,07:20,08:10,More SQL practice.,2021-04-30
InterviewPrep,30.0,08:27,08:57,More SQL practice. Feeling good about it.,2021-04-30
InterviewPrep,60.0,13:18,14:18,Last session! I am 12 minutes away from the assessment. I think I got this.,2021-04-30
Tutoring,30.0,13:42,14:12,Working on understanding Dara's homework.,2021-05-01
Tutoring,50.0,14:39,15:29,Tricky problems for Dara,2021-05-01
